,title,description,property_type,city,area,size,rooms,bedrooms,bathrooms,price,features,condition,age,date_published,url
0,Apartment for rent in Ville Verte. 3 rooms.,"Find out about this apartment for rent. Price 11,000 DH. 3 rooms, 3 bathrooms, area 130 m². 4 rooms. New.   This apartment is for rent in Ville Verte, Bouskoura.",Apartment,Bouskoura,Ville Verte,130,4.0,3.0,3,11000,,New,,,https://www.mubawab.ma/en/a/8020901/apartment-for-rent-in-ville-verte-3-rooms-
1,Great apartment for rent in Racine. 4 rooms. Cellar.,"Great amenities with this apartment for rent. Price 16,500 DH. 4 living areas, 3 private bathrooms, 190 m². 3 bedrooms. 5th storey. Less than 5 years. Covering: Marble. The property is fully furnished. This apartment is offered for rent in Racine. caretaker service available, General air conditioning System. Double glazed window, Central air conditioning. Be the first to visit this apartment for rent. General satellite dish system, On site security. No Lift, Balcony. Wireless connection.",Apartment,Casablanca,Racine,190,4.0,3.0,3,16500,"Terrace, Garage, Elevator, Concierge, Box room, Furnished, Exterior facade, European lounge, Satellite dish, Air conditioning, Heating, Security system, Double glazing, Equipped kitchen, Fridge, Oven, TV, Washing machine, Microwave, Internet",Good,1-5,,https://www.mubawab.ma/en/a/8007818/great-apartment-for-rent-in-racine-4-rooms-cellar-
2,Offices for rent in Racine. Large area 220 m². No Lift.,"Offices for rent. Price 30,000 DH. 1 bathroom, 220 m². 4th Property storey. Less than 20 years. Floor type: Tiled. Lift in the residence.   Offices for rent in Racine, Casablanca.",Office Space,Casablanca,Racine,220,,,1,30000,"Garage, Elevator",Good,10-20,,https://www.mubawab.ma/en/a/7905253/offices-for-rent-in-racine-large-area-220-m%C2%B2-no-lift-
3,Offices for rent in Oasis. Area 124 m².,"Offices for rent. Price 13,000 DH. 1 bathroom, area of ​​124 m². Good condition.   Offices for rent in Oasis, Casablanca.",Office Space,Casablanca,Oasis,124,,,1,13000,,Good,,,https://www.mubawab.ma/en/a/7841093/offices-for-rent-in-oasis-area-124-m%C2%B2-
4,Apartment for rent in Racine. 4 comfortable rooms.,"Rent your dream apartment. Price 15,000 DH. 4 living areas, 3 bathrooms, area 205 m². 3 bedrooms. Good condition.   This apartment is for rent in Racine, Casablanca.",Apartment,Casablanca,Racine,205,4.0,3.0,3,15000,,Good,,,https://www.mubawab.ma/en/a/8018511/apartment-for-rent-in-racine-4-comfortable-rooms-
